uid,employee_list
1067,"[7565, 6180, 16910, 6312, 9334, 6125, 9170, 10126]"
1079,"[2834, 6423, 9931, 2527, 906, 10800, 5966, 3250, 5551, 5935, 5672, 17369, 9802, 3151, 2278, 10289]"
1091,"[4644, 17452, 2173, 17453, 2832, 6589, 1752, 10017, 9034, 1944, 10770, 843, 6460, 2433, 1119, 6578, 6559, 3812]"
1193,"[2038, 9589, 1004, 16642]"
1288,"[9167, 10671, 4845, 9610, 2702, 1415, 10174, 1130, 10519, 6412, 6122, 6654]"
1286,"[1337, 9726, 1602, 9568, 994, 1922, 1394, 6238, 9170, 3789, 10525, 7729, 2162, 8983, 9552]"
1287,"[2961, 10424, 10308, 9038, 2082, 3105, 9995, 9722, 1836, 17396, 6573, 2450, 6539, 1411, 2748, 896, 10329, 16368]"
1285,"[2234, 16700, 16899, 1580, 17018, 5643, 548, 1062, 1348, 2432, 2352, 509, 16292, 16730, 1354, 2357, 2216, 9077]"
